CID,SMILES
6463707,CCC1=CC=C(C=C1)N2CC(CC2=O)C(=O)N3CCCC3
745050,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NC3=CC(=O)CC(C3)(C)C
15999196,CC(C)CC(=O)N/C(=N/C1=NC2=CC=CC=C2O1)/N
17367805,COC1=C(C(=C(C=C1)CNCCC2=CC=C(C=C2)Cl)OC)OC.C(=O)(C(=O)O)O
9655370,C1=CC(=CC(=C1)N/N=C/C2=CC=NC=C2)C(=O)N/N=C/C3=CC=NC=C3
2846662,CC1CCCC(C1)N2CCN(CC2)C3=C(C=CC(=C3)C)C
869895,C1CCC(C1)NC2=NC(=NC3=CC=CC=C32)C4=CC=CC=C4
16187635,CCOC(=O)C1(CCCN(C1)C2CCCC2)CC3=CC=CC=C3
2932836,COC1=CC=CC(=C1)NC(=O)C2CCCO2
5727667,CC1=CC=C(C=C1)N2CCN(CC2)/N=C/C3=CC=NC=C3
219770,C1=COC(=C1)CNC2=C3C=NN(C3=NC=N2)C4=CC=C(C=C4)Cl
6948522,C/C(=N\NC(=O)C1=NN(C=C1)C)/C2=CC=C(C=C2)NC(=O)C3CCC3
889578,C=CCN1C(=NNC1=S)CC2=CC=CC=C2
2416119,CN1C(=NN=C1SCC(=O)C2=C(C=C(C=C2)O)O)C3=CC=CC=C3
4348468,C1CN(CCN1C2=NC3=CC=CC=C3S2)C(=O)C4COC5=CC=CC=C5O4
960419,C1CCN(CC1)C2=CC=CC=C2NC(=O)C3=CC(=CC=C3)[N+](=O)[O-]
135473666,CC(C)(C)NC(=O)CSC1=NC(=CC(=O)N1)N
1579472,CCCCCCSC1=NN=C(S1)N
5765657,C1=CC=C(C=C1)C(=O)N/C(=C\C2=CC=CO2)/C(=O)NC3=CC=C(C=C3)O
544906,C1CN(CCN1C2=C(C=C(C=C2)[N+](=O)[O-])F)C(=O)C3=CC=CS3
9579633,CN1C=CC=C1/C=N/NC(=O)C2=CC=CO2
714125,COC1=C(C=C(C=C1)C(=O)NC2=CC3=C(C=C2)OCCO3)[N+](=O)[O-]
3107890,CC1=[N+](C(=C(S1)C2=CC=CC=C2)C3=CC=CC=C3)CCCS(=O)(=O)[O-]
1481412,CN(C)/C=C/C(=O)C1=CN(C=C1)S(=O)(=O)C2=CC=CC=C2
780277,CCC1=CC=C(C=C1)NC(=O)CN2C=C(N=C2C)[N+](=O)[O-]
1093466,CN1C2=C(C=C(C=C2)S(=O)(=O)NC3CCCCC3)OC1=O
9364149,CC1=CC(=CC=C1)C(=O)NCC(=O)OCC(=O)C2=CC=C(S2)Cl
935415,CC1=CC=C(C=C1)N2C(=O)C3=CC=CC=C3S2
23723900,CC1=C(OC2=C1C=CC=C2F)C(=O)N3CCC[C@H]3C(=O)N
3332385,CC(CCC1=CC=CC=C1)NC(=O)COC(=O)C2=CC=C(C=C2)OC
16682079,C1=CC=C(C=C1)P(=O)(CSC(=N)N)C2=CC=CC=C2.Cl
2746016,CC(=O)C(C(=O)C)SC1=NN=NN1C2=CC=CC=C2
